Country Name,Country Code,Year,Gini,GDP_per_capita,Lowest20_share,Highest10_share,Inequality_Ratio,Log_GDP,Bottom10_income_share,Bottom50_income_share,Top10_income_share,Top1_income_share
Albania,ALB,1996,27.0,1020.97618050188,9.2,20.7,2.25,6.928514488315524,,,,
Albania,ALB,2002,31.7,1479.83884572006,8.4,25.3,3.011904761904762,7.299688472802442,,,,
Albania,ALB,2005,30.6,2741.72136549578,8.4,24.3,2.892857142857143,7.916341237707155,,,,
Albania,ALB,2008,30.0,4498.50486763601,8.9,24.4,2.7415730337078648,8.411500368914165,,,,
Albania,ALB,2012,29.0,4280.93316338873,8.9,22.9,2.5730337078651684,8.361926293640154,,,,
Albania,ALB,2014,34.6,4793.59751131525,7.0,25.5,3.642857142857143,8.475036454714497,,,,
Albania,ALB,2015,32.8,4199.53912925398,7.7,24.8,3.220779220779221,8.342730067120554,,,,
Albania,ALB,2016,33.7,4457.63412207495,7.3,25.0,3.4246575342465757,8.402373438364819,,,,
Albania,ALB,2017,33.1,5006.36012951959,7.6,24.6,3.2368421052631584,8.518464408980618,,,,
Albania,ALB,2018,30.1,5897.65452588774,7.9,22.7,2.873417721518987,8.68231001286951,,,,
Albania,ALB,2019,30.1,6069.43903131027,8.5,23.6,2.7764705882352945,8.711021463194774,,,,
Albania,ALB,2020,29.4,6027.91350716348,8.4,22.8,2.7142857142857144,8.70415621113042,,,,
Algeria,DZA,1988,37.4,2450.87242078961,6.8,29.6,4.352941176470589,7.804199330271941,0.0024,0.1508,0.466,0.1572
Algeria,DZA,1995,35.3,1466.94806760415,7.0,26.9,3.8428571428571434,7.290939377110203,0.0024,0.1508,0.466,0.1572
Algeria,DZA,2011,27.6,5916.31364364343,9.4,22.9,2.436170212765957,8.685468838592291,0.0033,0.1855,0.4327,0.1593
Angola,AGO,2000,51.9,563.733795571487,3.2,40.2,12.5625,6.334582146406409,0.0012,0.0915,0.5803,0.22
Angola,AGO,2008,42.7,4578.15526451517,5.4,32.3,5.981481481481481,8.429051415296763,0.0019,0.1223,0.4932,0.153
Angola,AGO,2018,51.3,2860.0936483682,3.8,39.6,10.421052631578949,7.958609647462504,0.0013,0.0904,0.5801000000000001,0.2598
Argentina,ARG,1980,40.8,2747.5022751674,5.3,30.2,5.69811320754717,7.918447514363839,0.0,0.0817,0.5057,0.1486
Argentina,ARG,1986,42.8,3436.07819471053,5.1,32.2,6.313725490196079,8.142086040327891,0.0,0.0817,0.5057,0.1486
Argentina,ARG,1987,45.3,3477.30131979313,4.6,34.2,7.434782608695653,8.154011789108111,0.0,0.0817,0.5057,0.1486
Argentina,ARG,1991,46.8,5709.24784079504,4.8,36.6,7.625000000000001,8.649842567317478,0.0,0.0817,0.5057,0.1486
Argentina,ARG,1992,45.5,6789.99611136495,4.6,34.3,7.456521739130435,8.823205647852276,0.0,0.0817,0.5057,0.1486
