Year,Bottom10_income_share,Bottom50_income_share,Top10_income_share,Top1_income_share,Country Code
1980,0.0032,0.203,0.3228,0.0909,AND
1981,0.0031,0.2027,0.323,0.0907,AND
1982,0.003,0.2017,0.3224,0.0904,AND
1983,0.0031,0.2037,0.3236,0.0915,AND
1984,0.003,0.2021,0.327,0.0935,AND
1985,0.003,0.1982,0.329,0.0937,AND
1986,0.003,0.2007,0.3256,0.0935,AND
1987,0.0031,0.2024,0.3253,0.0928,AND
1988,0.0032,0.2079,0.3245,0.0933,AND
1989,0.0031,0.2066,0.3262,0.0944,AND
1990,0.0032,0.2087,0.3253,0.0923,AND
1991,0.0032,0.21,0.3232,0.0915,AND
1992,0.0032,0.2055,0.332,0.0951,AND
1993,0.003,0.1992,0.3343,0.0962,AND
1994,0.0029,0.1939,0.3416,0.1007,AND
1995,0.0029,0.1956,0.3386,0.0975,AND
1996,0.0029,0.195,0.3404,0.1009,AND
1997,0.0028,0.1918,0.3482,0.1068,AND
1998,0.0028,0.1926,0.3495,0.1081,AND
1999,0.0028,0.1925,0.3499,0.1088,AND
2000,0.0028,0.1893,0.3556,0.1129,AND
2001,0.0028,0.1892,0.3512,0.1086,AND
2002,0.0028,0.1919,0.346,0.105,AND
2003,0.0027,0.1896,0.3472,0.1074,AND
2004,0.0023,0.1821,0.3498,0.1114,AND
2005,0.0025,0.1844,0.3523,0.1133,AND
2006,0.0025,0.182,0.3596,0.12,AND
2007,0.0026,0.184,0.3607,0.1198,AND
2008,0.0028,0.1916,0.3424,0.1078,AND
2009,0.0028,0.1954,0.3346,0.0988,AND
2010,0.0026,0.184,0.3515,0.1093,AND
2011,0.0026,0.1833,0.3505,0.1087,AND
2012,0.0026,0.1846,0.3439,0.1025,AND
2013,0.0026,0.1816,0.3464,0.104,AND
2014,0.0025,0.1805,0.3509,0.1086,AND
2015,0.0026,0.1808,0.3499,0.1066,AND
2016,0.0026,0.1814,0.3515,0.1078,AND
2017,0.0027,0.1826,0.353,0.1079,AND
2018,0.0027,0.1842,0.3528,0.1084,AND
2019,0.0028,0.186,0.3505,0.105,AND
2020,0.0027,0.1852,0.3489,0.1059,AND
2021,0.0027,0.1834,0.3557,0.1141,AND
2022,0.0027,0.184,0.3571,0.1151,AND
2023,0.0027,0.184,0.3571,0.1151,AND
2024,0.0027,0.184,0.3571,0.1151,AND
1970,0.0025,0.0822,0.6447,0.3023,ARE
1980,0.0016,0.1008,0.5577,0.2002,ARE
1981,0.0016,0.1008,0.5577,0.2002,ARE
1982,0.0016,0.1008,0.5577,0.2002,ARE
1983,0.0016,0.1008,0.5577,0.2002,ARE
1984,0.0016,0.1008,0.5577,0.2002,ARE
1985,0.0016,0.1008,0.5577,0.2002,ARE
1986,0.0016,0.1008,0.5577,0.2002,ARE
1987,0.0016,0.1008,0.5577,0.2002,ARE
1988,0.0016,0.1008,0.5577,0.2002,ARE
1989,0.0016,0.1008,0.5577,0.2002,ARE
1990,0.0016,0.1008,0.5577,0.2002,ARE
1991,0.0016,0.1008,0.5577,0.2002,ARE
1992,0.0016,0.1008,0.5577,0.2002,ARE
1993,0.0016,0.1008,0.5577,0.2002,ARE
1994,0.0016,0.1008,0.5577,0.2002,ARE
1995,0.0016,0.1008,0.5577,0.2002,ARE
1996,0.0016,0.1008,0.5577,0.2002,ARE
1997,0.0016,0.1008,0.5577,0.2002,ARE
1998,0.0016,0.1008,0.5577,0.2002,ARE
1999,0.0016,0.1001,0.5588000000000001,0.1988,ARE
2000,0.0016,0.0993,0.56,0.1974,ARE
2001,0.0016,0.0984,0.5613,0.1959,ARE
2002,0.0016,0.0975,0.5626,0.1943,ARE
2003,0.0016,0.0966,0.5640000000000001,0.1927,ARE
2004,0.0016,0.0956,0.5655,0.1909,ARE
2005,0.0016,0.0945,0.5671,0.189,ARE
2006,0.0016,0.0934,0.5688,0.187,ARE
2007,0.0016,0.0921,0.5707,0.1848,ARE
2008,0.0016,0.0908,0.5726,0.1825,ARE
2009,0.0016,0.0894,0.5747,0.18,ARE
2010,0.0015,0.0952,0.5549000000000001,0.1768,ARE
2011,0.0015,0.101,0.5352,0.1736,ARE
2012,0.0014,0.1067,0.5157,0.1705,ARE
2013,0.0014,0.1123,0.4963,0.1673,ARE
2014,0.0013,0.1106,0.4998,0.1716,ARE
2015,0.0015,0.1151,0.498,0.1693,ARE
2016,0.0016,0.1197,0.496,0.1669,ARE
2017,0.0018,0.1244,0.4941,0.1644,ARE
2018,0.002,0.1291,0.4921,0.1619,ARE
2019,0.002,0.1291,0.4921,0.1619,ARE
2020,0.002,0.1291,0.4921,0.1619,ARE
2021,0.002,0.1291,0.4921,0.1619,ARE
2022,0.002,0.1291,0.4921,0.1619,ARE
2023,0.002,0.1291,0.4921,0.1619,ARE
2024,0.002,0.1291,0.4921,0.1619,ARE
1980,0.0029,0.1716,0.4194,0.1622,AFG
1981,0.0029,0.1716,0.4194,0.1622,AFG
1982,0.0029,0.1716,0.4194,0.1622,AFG
1983,0.0029,0.1716,0.4194,0.1622,AFG
1984,0.0029,0.1716,0.4194,0.1622,AFG
1985,0.0029,0.1716,0.4194,0.1622,AFG
1986,0.0029,0.1716,0.4194,0.1622,AFG
1987,0.0029,0.1716,0.4194,0.1622,AFG
1988,0.0029,0.1716,0.4194,0.1622,AFG
1989,0.0029,0.1716,0.4194,0.1622,AFG
1990,0.0029,0.1716,0.4194,0.1622,AFG
1991,0.0029,0.1716,0.4194,0.1622,AFG
1992,0.0029,0.1716,0.4194,0.1622,AFG
1993,0.0029,0.1716,0.4194,0.1622,AFG
1994,0.0029,0.1716,0.4194,0.1622,AFG
1995,0.0029,0.1716,0.4194,0.1622,AFG
1996,0.0029,0.1716,0.4194,0.1622,AFG
1997,0.0029,0.1716,0.4194,0.1622,AFG
1998,0.0029,0.1716,0.4194,0.1622,AFG
1999,0.0029,0.1716,0.4194,0.1622,AFG
2000,0.0029,0.1716,0.4194,0.1622,AFG
2001,0.0029,0.1716,0.4194,0.1622,AFG
2002,0.0029,0.1716,0.4194,0.1622,AFG
2003,0.0029,0.1716,0.4194,0.1622,AFG
2004,0.0029,0.1716,0.4194,0.1622,AFG
2005,0.0029,0.1716,0.4194,0.1622,AFG
2006,0.0029,0.1716,0.4194,0.1622,AFG
2007,0.0029,0.1716,0.4194,0.1622,AFG
2008,0.0029,0.1716,0.4194,0.1622,AFG
2009,0.003,0.1785,0.4081,0.1536,AFG
2010,0.003,0.1792,0.4044,0.1511,AFG
2011,0.0031,0.186,0.3942,0.1432,AFG
2012,0.0032,0.19,0.3876,0.1382,AFG
2013,0.0032,0.1873,0.3923,0.1409,AFG
2014,0.0032,0.1855,0.3961,0.1429,AFG
